n_vert,prob,range,seed,Dinic_time,EK_time,MPM_time
225,0.6,300,23245,0.00077259,0.020845,0.00332462
250,0.1,320,56020,0.000335996,0.0014226,0.00116408
250,0.2,320,86853,0.000822113,0.00459471,0.00194806
250,0.3,340,94281,0.000391994,0.00367357,0.00111785
250,0.4,360,71160,0.00058519,0.00945145,0.00297701
250,0.5,380,61248,0.000710534,0.0157712,0.00331399
250,0.6,400,53245,0.00168834,0.0389288,0.0040046
275,0.1,400,46020,0.000416884,0.00165156,0.00165518
275,0.2,420,26853,0.000829751,0.00927586,0.00243977
275,0.3,440,14281,0.00153063,0.0158082,0.00386857
275,0.4,460,31160,0.00264658,0.030835,0.00648958
275,0.5,480,61248,0.00087267,0.0207694,0.00247401
275,0.6,400,13245,0.00109112,0.0443641,0.00482342
300,0.1,400,16020,0.000784348,0.00303259,0.00281185
300,0.2,420,26853,0.00121121,0.0145201,0.0038372
300,0.3,440,84281,0.00234088,0.0325536,0.00515623
300,0.4,460,91160,0.000626404,0.0165917,0.00323085
300,0.5,480,31248,0.00185975,0.0398594,0.00728774
300,0.6,400,53245,0.00134964,0.0606464,0.00689239
325,0.1,400,26020,0.000683944,0.0029941,0.00268412
325,0.2,420,76853,0.00213116,0.017113,0.00564045
325,0.3,440,54281,0.00199059,0.0137443,0.00427672
325,0.4,460,41160,0.00239641,0.0438735,0.00696605
325,0.5,480,21248,0.00202268,0.0489799,0.00860693
325,0.6,500,13245,0.00202303,0.0914943,0.00504868
350,0.1,520,76020,0.000875744,0.00563539,0.00352456
350,0.2,520,86853,0.00121049,0.0168853,0.00380072
350,0.3,540,34281,0.0013662,0.0310478,0.00406844
350,0.4,560,11160,0.00262543,0.0613722,0.00709985
350,0.5,580,91248,0.00475031,0.106171,0.0106614
350,0.6,600,13245,0.00460287,0.129062,0.012649
375,0.1,600,26020,0.000293862,0.00168037,0.00110543
375,0.2,620,56853,0.00200104,0.0336479,0.00568074
375,0.3,640,34281,0.00251906,0.035161,0.00821228
375,0.4,660,21160,0.00213644,0.0362597,0.0100335
375,0.5,680,11248,0.00326829,0.0945324,0.0102514
375,0.6,500,23245,0.0043659,0.19953,0.0121138
400,0.1,300,86020,0.00120805,0.00986157,0.00436736
400,0.2,320,36853,0.00321385,0.0183521,0.00788073
400,0.3,340,54281,0.00272108,0.0492225,0.0062089
400,0.4,360,51160,0.00344988,0.0888389,0.011367
400,0.5,380,71248,0.00260643,0.122715,0.00889627
400,0.6,300,43245,0.0036894,0.129674,0.017591
425,0.1,400,80020,0.00147605,0.0143381,0.00479341
425,0.2,420,30823,0.00341219,0.0369452,0.00988115
425,0.3,440,60221,0.00198904,0.0358059,0.00784624
425,0.4,460,55160,0.00443362,0.0767919,0.0133522
425,0.5,480,76248,0.00439634,0.0954083,0.0149225
425,0.6,400,23245,0.00378289,0.144792,0.00588361
450,0.1,500,97020,0.00181327,0.0102141,0.00502084
450,0.2,520,23853,0.00351261,0.0462989,0.00960514
450,0.3,540,32281,0.0043311,0.0843106,0.00801189
450,0.4,560,11160,0.00463229,0.158144,0.0150114
450,0.5,580,22250,0.00537198,0.219043,0.0133025
450,0.6,600,87245,0.00760512,0.268214,0.0212748
475,0.1,600,17050,0.000939082,0.0153931,0.00320996
475,0.2,620,53853,0.00304793,0.0518062,0.0075043
475,0.3,640,72281,0.00408185,0.0585346,0.0122028
475,0.4,660,31160,0.00396962,0.10159,0.0103363
475,0.5,680,42248,0.00315959,0.174335,0.0178235
475,0.6,700,17245,0.0038508,0.263713,0.0178236
500,0.1,700,17050,0.0022866,0.0264894,0.00786139
500,0.2,720,53853,0.00473565,0.0841098,0.0131231
500,0.3,740,72281,0.00602232,0.0767405,0.0150497
500,0.4,760,31160,0.00378741,0.209635,0.012235
500,0.5,780,42248,0.00395837,0.212055,0.016559
500,0.6,700,17245,0.00406303,0.406329,0.0191709
525,0.1,500,86020,0.00199118,0.0127637,0.0062376
525,0.2,520,66853,0.00397893,0.0755216,0.0127586
525,0.3,540,44281,0.00744082,0.180676,0.0137231
525,0.4,560,21160,0.00390859,0.107753,0.0166261
525,0.5,580,11248,0.0056225,0.441577,0.0185542
525,0.6,500,43245,0.0064572,0.363209,0.0204475
550,0.1,700,26020,0.00158516,0.0257431,0.00774002
550,0.2,720,66853,0.00389738,0.0601709,0.00940763
550,0.3,740,84281,0.00968361,0.226172,0.0200912
550,0.4,760,91160,0.00571576,0.242191,0.0161811
550,0.5,780,21248,0.00845132,0.260311,0.0319587
550,0.6,700,13245,0.0125052,0.772019,0.0347381
575,0.1,700,26020,0.00364095,0.0320529,0.0100946
575,0.2,820,56853,0.00651381,0.0945927,0.0151727
575,0.3,840,84281,0.0113685,0.391352,0.0252089
575,0.4,860,31160,0.0108762,0.424297,0.0259362
575,0.5,880,91248,0.00945248,0.52009,0.0245495
575,0.6,900,13245,0.00812096,0.815648,0.0489162
600,0.1,800,36020,0.00360266,0.0418215,0.0117914
600,0.2,820,56853,0.0036603,0.0487491,0.0109607
600,0.3,840,14281,0.00902967,0.22396,0.0224743
600,0.4,860,71160,0.00534914,0.186081,0.0266281
600,0.5,880,21248,0.015274,0.682713,0.0387607
600,0.6,900,13245,0.00836836,0.985365,0.0337991
